------------------------------------------------------------------------------------
Date: 5/15/2020 -- 20:42:09 (uptime: 0d, 00h 00m 27s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
flow_mgr.rows_maxlen                          | Total                     | 1
tcp.memuse                                    | Total                     | 4587520
tcp.reassembly_memuse                         | Total                     | 2566188
flow.memuse                                   | Total                     | 7524816
------------------------------------------------------------------------------------
Date: 5/15/2020 -- 20:42:41 (uptime: 0d, 00h 00m 59s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 5105
decoder.pkts                                  | Total                     | 5105
decoder.bytes                                 | Total                     | 3277956
decoder.ipv4                                  | Total                     | 5008
decoder.ipv6                                  | Total                     | 13
decoder.ethernet                              | Total                     | 5105
decoder.tcp                                   | Total                     | 4768
decoder.udp                                   | Total                     | 243
decoder.icmpv6                                | Total                     | 8
decoder.avg_pkt_size                          | Total                     | 642
decoder.max_pkt_size                          | Total                     | 1454
flow.tcp                                      | Total                     | 55
flow.udp                                      | Total                     | 101
flow.icmpv6                                   | Total                     | 4
decoder.event.ipv4.opt_pad_required           | Total                     | 2
decoder.event.ipv6.zero_len_padn              | Total                     | 4
tcp.sessions                                  | Total                     | 40
tcp.syn                                       | Total                     | 44
tcp.synack                                    | Total                     | 39
tcp.rst                                       | Total                     | 44
tcp.stream_depth_reached                      | Total                     | 1
app_layer.flow.tls                            | Total                     | 37
app_layer.flow.dhcp                           | Total                     | 1
app_layer.tx.dhcp                             | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 94
app_layer.tx.dns_udp                          | Total                     | 194
app_layer.flow.failed_udp                     | Total                     | 6
flow.spare                                    | Total                     | 10000
flow_mgr.flows_checked                        | Total                     | 1
flow_mgr.flows_notimeout                      | Total                     | 1
flow_mgr.rows_checked                         | Total                     | 65536
flow_mgr.rows_skipped                         | Total                     | 65535
flow_mgr.rows_maxlen                          | Total                     | 1
tcp.memuse                                    | Total                     | 4587520
tcp.reassembly_memuse                         | Total                     | 2576428
flow.memuse                                   | Total                     | 7526784
------------------------------------------------------------------------------------
Date: 5/15/2020 -- 20:42:49 (uptime: 0d, 00h 01m 07s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 5181
decoder.pkts                                  | Total                     | 5188
decoder.bytes                                 | Total                     | 3303115
decoder.ipv4                                  | Total                     | 5072
decoder.ipv6                                  | Total                     | 13
decoder.ethernet                              | Total                     | 5188
decoder.tcp                                   | Total                     | 4826
decoder.udp                                   | Total                     | 249
decoder.icmpv6                                | Total                     | 8
decoder.avg_pkt_size                          | Total                     | 636
decoder.max_pkt_size                          | Total                     | 1458
flow.tcp                                      | Total                     | 58
flow.udp                                      | Total                     | 103
flow.icmpv6                                   | Total                     | 4
decoder.event.ipv4.opt_pad_required           | Total                     | 2
decoder.event.ipv6.zero_len_padn              | Total                     | 4
tcp.sessions                                  | Total                     | 42
tcp.syn                                       | Total                     | 47
tcp.synack                                    | Total                     | 42
tcp.rst                                       | Total                     | 44
tcp.stream_depth_reached                      | Total                     | 1
app_layer.flow.tls                            | Total                     | 39
app_layer.flow.dhcp                           | Total                     | 1
app_layer.tx.dhcp                             | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 96
app_layer.tx.dns_udp                          | Total                     | 200
app_layer.flow.failed_udp                     | Total                     | 6
flow_mgr.new_pruned                           | Total                     | 3
flow.spare                                    | Total                     | 10001
flow_mgr.flows_checked                        | Total                     | 4
flow_mgr.flows_notimeout                      | Total                     | 3
flow_mgr.flows_timeout                        | Total                     | 1
flow_mgr.flows_removed                        | Total                     | 1
flow_mgr.rows_checked                         | Total                     | 65536
flow_mgr.rows_skipped                         | Total                     | 65532
flow_mgr.rows_maxlen                          | Total                     | 1
tcp.memuse                                    | Total                     | 4587520
tcp.reassembly_memuse                         | Total                     | 2588716
flow.memuse                                   | Total                     | 7527440
